Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/25,5,35994,1458
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/24,6,35960,1456
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/23,7,35910,1448
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/22,8,35862,1441
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/21,7,35796,1436
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/20,11,35768,1432
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/19,3,35710,1430
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/18,2,35543,1420
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/17,3,35423,1418
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/16,2,35315,1414
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/15,1,35222,1410
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/12,1,35045,1393
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/13,1,35104,1398
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/14,1,35172,1400
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/10,2,34864,1364
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/11,2,34864,1364
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/9,3,34781,1353
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/2,4,33814,1254
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/3,4,33964,1269
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/4,4,34171,1288
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/5,4,34331,1303
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/6,4,34487,1316
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/7,4,34552,1326
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/8,4,34658,1339
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/27,5,32304,1122
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/28,5,32646,1160
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/29,5,32952,1178
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/30,5,33273,1193
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/31,5,33388,1217
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/2/1,5,33548,1234
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/24,6,31320,1005
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/25,6,31646,1075
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/26,6,32004,1103
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/17,7,27203,713
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/18,7,27892,773
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/19,7,28675,825
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/20,7,29408,879
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/21,7,30047,917
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/22,7,30523,962
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/23,7,31007,974
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/14,8,25368,636
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/15,8,26109,666
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/16,8,26881,683
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/10,9,21477,507
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/11,9,22297,528
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/12,9,23239,551
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/13,9,24256,589
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/8,10,19660,468
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/9,10,20499,483
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/6,11,17804,431
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/7,11,18675,446
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2020/12/28,12,13148,354
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2020/12/29,12,13325,359
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2020/12/30,12,13625,360
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2020/12/31,12,13867,363
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/1,12,14084,369
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/2,12,14491,377
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/3,12,15265,380
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/4,12,15829,384
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2021/1/5,12,17194,418
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2020/12/22,13,12544,326
Zimbabwe,Africa,-19.02,29.15,20,1.7,0.08,1464,16529904,19,3,2020/12/23,13,12656,330
